ward_id,emis_power_co,emis_industry_co,emis_residential_co,emis_transport_co,emis_power_nox,emis_industry_nox,emis_residential_nox,emis_transport_nox,emis_power_pm25,emis_industry_pm25,emis_residential_pm25,emis_transport_pm25,emis_power_so2,emis_industry_so2,emis_residential_so2,emis_transport_so2,emis_total_pm25,emis_total_co,emis_total_so2,emis_total_nox
28,35.1111,1290.12,4792.09,538.251,52.7335,213.462,105.353,203.759,8.69473,190.03,381.928,10.5332,64.8889,212.344,190.913,0.336867,591.18593,6655.5721,468.48276699999997,575.3075
19,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
17,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
16,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
15,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
144,2148.26,13203.4,12309.6,2171.16,1353.21,2184.61,264.835,1336.79,61.2495,1944.8,981.071,54.6742,348.707,2173.17,480.651,1.59539,3041.7947,29832.420000000002,3004.1233899999997,5139.445
143,2148.26,13203.4,12309.6,2171.16,1353.21,2184.61,264.835,1336.79,61.2495,1944.8,981.071,54.6742,348.707,2173.17,480.651,1.59539,3041.7947,29832.420000000002,3004.1233899999997,5139.445
141,22.8985,13203.4,12309.6,2171.16,34.3914,2184.61,264.835,1336.79,5.67047,1944.8,981.071,54.6742,42.3189,2173.17,480.651,1.59539,2986.21567,27707.0585,2697.73529,3820.6264
14,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
13,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
12,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
10,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
101,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
102,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
105,405.298,17925.7,40620.2,1779.69,221.78,4134.9,873.926,1066.26,3.13224,2602.29,3237.42,43.9766,0.985225,3860.68,1586.09,1.29116,5886.81884,60730.888,5449.046385,6296.866
