ward_id,ward_name,ward_lat,ward_lon,point_id,dist_to_grid_km,nearest_station_id,dist_to_station_km,road_km_3km,road_capacity_3km,industry_count_5km,vulnerable_sites_3km
91,KAROL BAGH,28.65852,77.18972,21,6.69,5641,2.59,135.07,435.8,59.0,163.0
90,MODEL BASTI,28.65169,77.20458,22,6.39,5641,1.65,115.08,719.0,25.0,36.0
70,RANA PRATAP BAGH,28.68801,77.19757,22,4.35,8917,1.75,115.08,719.0,25.0,36.0
4,BAKHTAWAR PUR,28.81483,77.17259,27,3.58,6932,1.91,75.68,393.5,36.0,3.0
3,ALIPUR,28.78911,77.10821,27,3.33,10485,3.8,75.68,393.5,36.0,3.0
26,SAHIBABAD DAULAT PUR,28.74884,77.09679,21,6.87,5626,1.42,135.07,435.8,59.0,163.0
2,BANKNER,28.85094,77.07204,32,6.28,5763,3.84,18.31,67.4,3.0,0.0
9,MALKAGANJ,28.67415,77.20781,22,4.26,16,1.86,115.08,719.0,25.0,36.0
8,JHARODA,28.74352,77.2221,22,5.14,5541,2.85,115.08,719.0,25.0,36.0
6,MUKUND PUR,28.75108,77.18683,27,7.1,8235,2.57,75.68,393.5,36.0,3.0
28,BAWANA,28.81246,77.00192,26,3.96,5763,4.71,78.49,284.5,9.0,18.0
19,BHALSWA,28.74401,77.16332,21,5.4,8235,1.43,135.07,435.8,59.0,163.0
17,SAMAYPUR BADLI,28.73814,77.14628,21,4.28,5761,1.95,135.07,435.8,59.0,163.0
16,JAHANGIRPURI-I,28.72551,77.17079,21,4.13,8235,0.81,135.07,435.8,59.0,163.0
15,SARAI PIPAL THALA,28.72332,77.16559,21,3.6,5761,0.56,135.07,435.8,59.0,163.0
144,MAHIPALPUR,28.53442,77.12955,9,3.96,4663956,2.12,34.51,149.7,16.0,7.0
143,KAPASHERA,28.54268,77.08228,8,6.29,15,2.24,73.96,190.1,23.0,42.0
141,BIJWASAN,28.54174,77.05101,8,4.76,6931,3.84,73.96,190.1,23.0,42.0
14,ADARASH  NAGAR,28.71341,77.17463,21,3.69,8915,1.76,135.07,435.8,59.0,163.0
13,DHIR PUR,28.71659,77.18981,21,5.2,5541,1.5,135.07,435.8,59.0,163.0
12,G.T.B. NAGAR,28.69808,77.20397,22,3.52,8917,2.2,115.08,719.0,25.0,36.0
10,TIMAR PUR,28.70136,77.22061,22,1.9,16,2.58,115.08,719.0,25.0,36.0
101,RAJA GARDEN,28.65661,77.12584,21,5.02,5540,1.24,135.07,435.8,59.0,163.0
102,RAGHUBIR NAGAR,28.65915,77.11566,21,5.13,5540,1.66,135.07,435.8,59.0,163.0
105,RAJOURI GARDEN,28.64457,77.1145,15,5.55,5540,2.93,82.28,398.0,24.0,61.0
110,NANGAL RAYA,28.61697,77.10969,15,3.51,5581,1.23,82.28,398.0,24.0,61.0
111,HARI NAGAR,28.62838,77.11913,15,3.76,5581,2.76,82.28,398.0,24.0,61.0
112,SUBHASH NAGAR,28.6358,77.11646,15,4.6,6356,2.94,82.28,398.0,24.0,61.0
148,MADHU VIHAR,28.60849,77.05736,14,1.94,5622,2.42,124.23,323.1,16.0,115.0
23,BUDH VIHAR,28.71805,77.08942,20,5.22,10831,3.38,67.72,474.5,13.0,22.0
31,NANGLOI JAT WEST,28.68317,77.04322,20,1.9,10486,3.26,67.72,474.5,13.0,22.0
34,NITHARI,28.70772,77.03589,20,0.95,5743,4.24,67.72,474.5,13.0,22.0
